凉亭	pavilion
甲	nail
催眠术	hypnotism
蕴结	latent
开光	translucent
情	passion
女人	woman
固	solid
芭乐	guava
情欲	lust
窦	sinus
呒	perplexed
胤	posterity
谷物	cereal
轻轨	metro
青鱼	herring
对虾	shrimp
勾栏	brothel
集团	group
子爵	viscount
闹哄哄	noisy
玫瑰茄	roselle
自恋	narcissism
无烟煤	anthracite
羽翼	assistant
驯顺	docile
蠢蛋	fool
秧苗	seedling
早日	shortly
显要	notable
相对	opposite
居第	housing
贩子	dealer
思想家	thinker
畔	edge
谋杀罪	murder
亭	kiosk
乱石	rubble
正统	orthodox
创作者	originator
秩	order
翚	variegated
方位角	azimuth
制图	mapmaking
桉树	eucalyptus
受罪	torments
空气	air
评审团	jury
插座	socket
寡淡	indifferent
嗲	childish
紧实	dense
热乎	hot
队伍	troops
噜	grumble
鹊	magpie
笼统	broad
光辉	magnificent
海洋	ocean
感受	perception
硬	firm
快	sharp
扑朔迷离	confusing
航天员	astronaut
披巾	shawl
团结	united
氧化物	oxide
泻湖	lagoon
满意	pleased
悬荡	suspended
脚丫子	foot
外教	amateurish
以及	too
华贵	sumptuous
文化	civilization
不苟	careful
惊疑	bewildered
戳记	seal
绌	deficiency
妙趣	amusing
学会	institute
刑罚	penalty
分流	bypass
缺德	cruel
余党	rump
恨意	bitterness
标度	scale
越发	increasingly
粗鲁	coarse
埔	pier
图腾	totem
醛	aldehyde
讽刺	sarcasm
乡下	countryside
正午	noon
靶	target
诈骗罪	fraud
恶魔	fiend
事项	item
恤	sympathy
外袍	robe
反义词	antonym
出局	out
尽	all
先前	previously
咖哩	curry
苍莽	boundless
扯	hokey
帖	suitable
形态	form
盱	stare
季度	season
实质上	virtually
文具商	stationer
利尿剂	diuretic
温和	lukewarm
底料	primer
无穷	endless
撰述	writer
他杀	homicide
环路	loop
事权	position
借词	loanword
拓荒者	pioneer
定当	finished
又	anyway
勒	lux
配件	component
头颅	skull
尖塔	minaret
要么	or
内	inside
跨领域	interdisciplinary
生气	liveliness
船货	cargo
相配	well-suited
疱	pimple
白天	day
灵巧	ingenious
大幅度	substantial
压花	coining
说帖	memorandum
听证会	hearing
狐猴	lemur
微光	glimmer
报价单	quotation
疲累	tired
演员	performer
形势	terrain
牧羊人	shepherd
挺	very
屏幕	screen
争论	argument
记事本	notebook
洼	swamp
岸边	shore
草案	draft
冷语	sarcasm
人声鼎沸	hubbub
条贯	order
嗄	hoarse
套	sheath
旨	purpose
野	rude
岚	mist
组件	module
别名	alias
池	pond
孵化器	incubator
四方	four-way
红眼病	jealousy
自洁	self-cleaning
束腰	girdle
鼩鼱	shrew
危惧	apprehensive
动画	cartoon
有条有理地	systematically
明慧	intelligent
士兵	soldier
海堤	levee
祁	vast
彤	red
露	syrup
野蛮	uncivilized
惟一	sole
马夫	groom
手刹车	handbrake
试算表	spreadsheet
汇划	remittance
采	complexion
妻妾	harem
灼	burning
赏钱	gratuity
嚣张	arrogant
自重	deadweight
坡	slope
掠夺者	predator
当	dong
疾风	blast
有形	material
战争	war
低能儿	moron
硫	sulfur
侠义	chivalrous
序	order
气息	odor
肥实	plump
多变	fickle
病灶	nidus
中胚层	mesoderm
全国	national
面板	panel
宴席	feast
在先	first
套汇	arbitrage
雏形	prototype
论争	debate
裳	garments
数目	amount
普通	common
濒于	approaching
芭	banana
收音机	radio
炎性	inflammatory
偏	stubbornly
纤小	delicate
面包渣	breadcrumbs
平衡木	beam
观察	observation
酣	intoxicated
吼声	roar
爰	thereupon
激酶	kinase
欢呼雀跃	jubilant
乱画	doodle
不分昼夜	round-the-clock
空闲	unused
背部	back
风流	dissolute
馋	gluttonous
硫酸盐	sulfate
掘土机	excavator
千万	countless
剪力	shear
秸秆	straw
翻译家	translator
微驼	hunched
笑料	butt
简洁	succinct
市议员	alderman
法老	pharaoh
尾子	end
报应	judgment
两	two
咯吱	groan
标准化	standardization
啁啾	chirp
夜叉	yaksha
义	artificial
代理人	agent
惬意	pleased
地下室	basement
连珠	alignment
默剧	mime
轻盈	relaxed
勍	strong
黄昏	nightfall
油菜籽	rapeseed
粉	white
几	several
宠儿	darling
愿意	ready
窈	deep
错误	mistaken
咚	boom
宝贝	treasure
亲和力	warmth
内地	hinterland
风趣	wit
硬伤	flaw
乖张	recalcitrant
卡盘	chuck
蕲	pray
周	circle
毛	nervous
奄	suddenly
冉冉	slowly
渊薮	den
山峡	canyon
行板	andante
蜗	snail
同轴	coaxial
山寨货	fake
政治家	politician
戛	lance
孤男寡女	bachelors
操演	drill
具	equipment
些	several
家室	residence
烂	messy
证件	credentials
针对性	purpose
厨师	chef
低音炮	subwoofer
叫喊	shout
总决赛	finals
任性	unruly
窟	hole
友好	amicable
膳	meals
寮	shack
雪	snow
趋近	convergence
圈套	trap
诗	poetry
粗糙	gruff
袖珍	pocket-sized
跟班	attendant
动感	innervation
轻快	blithe
乏味	tedious
毛象	mammoth
传教	missionary
皮肉	superficial
海员	mariner
肠管	gut
如诗如画	picturesque
花蕊	pistil
同义语	synonym
酸楚	grievance
等	grade
哄	tumult
可是	indeed
山药蛋	rube
脂	resin
陆基	land-based
滋味	taste
差错	accident
戚	battle-axe
势	situation
评委	adjudicator
激	sharp
慷	generous
弃用	abandoned
婴儿	lead
卡拉OK	karaoke
闹铃	alarm
沥青	asphalt
计划	program
完整性	integrity
季节	time
图	drawing
舞会	dance
挂念	concerned
哪	how
迷因	meme
机组	unit
管理员	manager
经久不衰	unfailing
绵连	continuous
出生地	birthplace
成分	component
娘娘腔	effeminate
金融	finance
宫阙	palace
硝烟	smoke
客套	courtesy
纪	era
心乱如麻	disconcerted
斑马线	crosswalk
侠义	chivalry
实质	substance
爱乐	philharmonic
里拉	lira
排	platoon
音信	message
晢	bright
负荷	charge
尹	magistrate
义务	volunteer
恩公	benefactor
标	sign
卵形	oval
瓶颈	bottleneck
私家	private
摇杆	joystick
菜蔬	vegetables
支	division
死鬼	devil
振幅	amplitude
寿限	lifetime
买方	buyer
热切	fervent
长袜	stocking
入微	thoroughgoing
戗	contrary
措施	step
保姆	nanny
复活赛	repechage
孤芳自赏	self-love
悲凄	sorrowful
实话	truth
蚤	flea
意大利面	spaghetti
时	o'clock
粉刷	emulsion
凄婉	melancholy
心猿意马	hyperactive
横幅	banner
嘈	noisy
厦	mansion
提示	tip
索性	just
掩体	bunker
加赛	replay
漫长	endless
镀锌	galvanized
煦煦	balmy
铀	uranium
腰际	hips
小儿麻痹	polio
蛹	pupa
一打	dozen
伯劳鸟	shrike
选择	alternative
涟	ripple
熟	cooked
凹	sunken
噱头	amusing
垫料	litter
袋狼	thylacine
扎	jug
妈妈	mommy
实验	experiment
折皱	crease
汉化	sinicization
难	problem
眼生	unfamiliar
半旗	half-mast
骨朵	club
前	first
密密麻麻	dense
候补	reserve
成语	saying
神	amazing
放纵	boorish
气度	manner
报告	report
闲散	unused
步哨	sentry
整	entire
好在	fortunately
浓度	viscosity
憨	silly
标志	symbol
藿	beans
精巢	testes
尺度	yardstick
级别	level
轻子	lepton
江河	river
放肆	impudent
发源地	source
冷落	desolate
都会	metropolis
石油	petroleum
内部	internal
角抵	wrestling
方子	prescription
篇章	writing
集料	conglomerate
凋敝	tattered
帧	frame
穴鸟	jackdaw
夜光	luminous
无关痛痒	irrelevant
表语	predicative
洵	whirlpool
丰厚	ample
小子	youngster
细部	detail
定界	bound
水管工	plumber
能屈能伸	flexible
制品	goods
峥嵘	extraordinary
恳求	entreaty
勾人	seductive
无底	bottomless
营寨	barracks
大自然	nature
翰	writing
悲剧性	tragic
粮仓	barn
阴森	gloomy
辅修	minor
酱	paste
绵连	uninterrupted
吸入器	inhaler
委婉	suave
娆	graceful
铱	iridium
妮子	lass
失明	blindness
鳀	anchovy
价	price
病房	ward
年金	annuity
益生菌	probiotics
门店	store
作业	homework
故此	therefore
风韵	grace
汇兑	remittance
水泥	cement
惯用	customary
倾向	tendency
小品	essay
权能	power
从而	thereby
端方	proper
卬	me
膨润土	bentonite
和悦	kindly
脂肪	fat
嘻	laugh
门	category
杂沓	tumult
航海者	navigator
孱弱	weak
停泊	mooring
假	false
险	danger
光光	naked
不平等	unfairness
包巾	turban
氦	helium
婆	matron
体	form
物产	produce
嘌呤	purine
嚼蜡	insipid
制造者	maker
页边	margin
谋略	resourcefulness
理则	logic
神异	mystical
预报	forecast
石棺	sarcophagus
中国产	home-grown
活菩萨	saint
中等	medium
尝	once
外孙子	grandson
蚊	mosquito
卅	thirty
附件	attachment
散水	apron
外逃	outflow
地段	district
邑	city
坏死	necrosis
人鱼	mermaid
讹	false
率真	candid
刚愎	headstrong
复式	compound
话匣子	chatterbox
桩	stump
熔浆	magma
经络	trick
怪	bewildering
心醉	enchanted
完完全全	completely
典型	model
迷醉	bewitched
官吏	official
脚趾头	toe
不满意	dissatisfied
描述	description
拟议	proposal
索然	dry
回味	aftertaste
贴心	considerate
元	part
委	roundabout
切	definitely
小巧	compact
吃干饭	good-for-nothing
髦	fashionable
嘴脸	countenance
标高	level
不要紧	unimportant
传统	convention
面子	feelings
卵巢	ovary
杰	distinguished
闷	sealed
邪乎	incredible
石龙子	skink
逐月	monthly
段	stage
休息	rest
笨拙	stupid
位置	place
帅	handsome
储	heir
不息	ceaselessly
空疏	shallow
目的	purpose
写真	portrait
死	damned
简约	abbreviated
后面	afterwards
土著	aboriginal
圣人	sage
滤饼	filtrate
臭氧	ozone
水肿	dropsy
慵懒	languid
门外汉	layman
指挥官	commander
长班	footman
显微镜	microscope
强度	intensity
韶	harmonious
甲型	alpha-
堪舆	geomancy
神不守舍	abstracted
吊灯	chandelier
尾音	rhyme
皱纹	wrinkle
嬉戏	fun
瓣	valve
有望	promising
组合	set
后嗣	descendant
一团糟	shambles
爵	nobility
阀门	valve
弟妇	sister-in-law
错杂	mixed
方法	means
转运	transshipment
冥顽不灵	stupid
羞	bashful
电气	electrical
鄙	rustic
久	time
年轻	young
中人	intermediary
混	reckless
羊膜	amniotic
神学院	seminary
块头	size
中常	mid-range
制剂	preparation
资料	data
侵入者	intruder
俭	frugal
闲静	tranquil
愉快	delightful
不透水	waterproof
匹配	compatible
逻各斯	logos
阵列	array
凹	concave
透支	overdraft
特种兵	commando
威重	majestic
运动学	kinematics
河滨	brook
粉色	pink
协同	collaborate
圈子	circle
发现物	finding
外边	abroad
螺旋	screw
孩	child
痈	carbuncle
阿斯巴甜	aspartame
隆冬	midwinter
发展	development
上	upper
新	newly
样例	example
显而易见	clearly
阵营	camp
精光	radiant
墙垣	fence
礼数	etiquette
枯燥	uninteresting
表土	topsoil
酒渣鼻	rosacea
料	feed
坏掉	ruined
妥善	appropriate
哮	bark
炼狱	purgatory
庞	tremendous
身分	rank
耻骨	pubis
杠	footbridge
银子	money
督工	foreman
齐备	available
渠道	channel
尽自	always
昌明	thriving
预约	reservation
聿	then
合子	zygote
井井	tidy
无猜	unsuspecting
了断	resolution
公家	society
锆	zirconium
非标准	nonstandard
发神经	unhinged
容器	container
旺	roaring
烙饼	pancake
节子	knot
鹳	crane
十字路口	intersection
步履	gait
余	surplus
强攻	strong
方士	necromancer
巧合	coincidental
封盖	cover
爽然	confused
思乡病	homesickness
后来	afterwards
局部	part
生活	life
魔法	enchantment
时间戳	timestamp
成见	prejudice
雄鹿	stag
瓣	section
际会	chance
使得	feasible
体面	face
卓然	eminent
人鱼	dugong
全胜	slam
球场	court
甚	very
夹子	wallet
不可分离	inseparable
区	area
桑梓	homeland
畈	farm
当头	imminent
训条	order
既有	existing
提示	notice
间谍	spy
利	benefit
苹	apple
旁人	bystanders
必需品	essential
品位	grade
葱绿	verdant
质地	background
奇诡	queer
墩	block
左倾	progressive
灰烬	ashes
恶煞	demon
走道	footpath
门诊室	clinic
超联	hyperlink
光润	glossy
凹痕	dent
可恶	vile
辐条	spoke
蜗牛	snail
神女	prostitute
变速器	gearbox
流浪者	vagrant
小白	greenhorn
巨亨	mogul
重建	rebuilding
黑话	argot
胡须	beard
五星级	five-star
鉴	example
风车	windmill
冗赘	verbose
强盗	robber
指头	finger
姑且	tentatively
寿	age
疗法	therapy
稀松	unimportant
商户	firm
无罪	innocent
评语	evaluation
一些	some
辉	splendor
资方	management
雄心勃勃	pushy
铁锹	spade
鹏鸟	roc
过瘾	gratifying
文	literary
拳	boxing
拥挤不堪	overcrowded
便器	urinal
灼热	scorching
宁静	tranquility
一瞥	glimpse
杏子	apricot
中号	medium-sized
嘭	bang
否决票	veto
明细	details
蕴涵	entailment
号码	number
无意中	accidentally
庇佑	protection
失口	indiscretion
赫然	furiously
大门	gate
一定	must
情绪	mood
证据	proof
延展	scalable
痨	tuberculosis
流浪	vagrant
社会	society
凳	bench
诱人	captivating
依稀	vaguely
弟兄们	brothers
锅子	bowl
票据	voucher
差	messenger
结子	knot
沉思	meditation
球台	table
绳结	knot
爸	father
底料	base
举足轻重	influential
脸色	complexion
萧	miserable
胶黏剂	adhesive
历书	almanac
顺溜	smooth
灾难	catastrophe
迹	vestige
害	calamity
时尚	fashionable
无核	seedless
属灵	spiritual
八角形	octagon
收容人	inmate
嫂	sister-in-law
单于	chanyu
荚	pod
基因组	genome
礼仪	etiquette
调度	scheduler
转接	switch
一朝一夕	overnight
效验	effect
胡琴	huqin
仇	spouse
疑虑	hesitation
忧闷	depressed
竹	bamboo
潦草	careless
生态学家	ecologist
渺小	minute
炼化	refining
可转让	negotiable
冰冷	ice-cold
要不得	unacceptable
宿命论	fatalistic
段数	rank
贺客	guest
乐意	satisfied
功夫	skill
梦	dream
赛	match
总和	sum
刺戟	stimulus
欢	joyous
天线	antenna
彬彬有礼	urbane
时时	constantly
佐料	seasoning
磅秤	scale
径路	route
可能	possible
哪儿	wherever
爽	straightforward
薄情	fickle
具体而微	scaled-down
口语	gossip
凭准	evidence
灌木丛	shrubbery
登峰	mountaineering
谁知	unexpectedly
血流成河	bloodbath
动议	motion
糊糊	porridge
染毒	contamination
卑	vulgar
椰菜	cauliflower
漫无边际	boundless
假的	mock
自尊	ego
全身心	wholeheartedly
迨	while
休战	armistice
看家	outstanding
热	hot
缝纫	tailoring
未了	unfinished
小溪	brook
暴雨	rainstorm
淤积	slurry
不便	unsuitable
射灯	spotlight
不经意	carelessly
定量	ration
常染色体	autosomal
观测	observation
单单	only
电筒	flashlight
搓板	washboard
上边	upwards
巴罗克	baroque
签	tag
和悦	affable
背囊	backpack
音	note
上心	meticulously
际	interval
驹	colt
大模大样	self-assured
体态	figure
贪婪	rapacious
快捷	agile
兵器	weaponry
原本	originally
露体	naked
底止	end
蕴蓄	latent
呵呵	chuckle
扒粪	muckraking
没药	myrrh
偏执	bigotry
有所	somewhat
号	roar
拿不准	indecisive
铺天盖地	omnipresent
饼干	cracker
手帐	notebook
清凉	cool
论述	discourse
体癣	ringworm
泡沫	bubble
开明	enlightened
头绪	outline
劝说	persuasion
锥面	cone
馋人	appetizing
关文	passport
喜庆	jubilation
易逝	fugitive
玉髓	chalcedony
心毒	vicious
蹇滞	unfavorable
纸板	cardboard
案件	case
穷棒子	destitute
不合理	unreasonable
节约	frugal
餐	meal
算法	algorithm
羞恼	resentful
冷不防	unexpectedly
虚构	imaginary
摸底	fact-finding
球杆	club
转子	rotor
违命	disobedient
前体	precursor
凶巴巴	savage
信息化	informatization
保险	insurance
伙伴	comrade
行	makeshift
讫	finished
大姨妈	menstruation
怪里怪气	peculiar
硬生生	inflexible
紫罗兰	violet
考核	evaluation
不已	endlessly
松懈	undisciplined
近地点	perigee
隔阂	estrangement
批评者	detractor
椭球	ellipsoid
慢悠悠	unhurried
安舒	relaxed
窗口	showpiece
毒品	poison
事体	things
本影	umbra
初	junior
沙沙	rustle
痴傻	stupid
基板	substrate
探测	exploration
裤头	trunks
樽	bottle
操舵室	pilothouse
二奶	mistress
妤	handsome
约定	stipulation
鳀鱼	anchovy
吊车	hoist
失败主义	defeatism
倘若	if
居人	inhabitant
烘托	backdrop
弧形	arch
楔子	wedge
厉鬼	devil
胡	reckless
对质	confrontation
生活费	alimony
来由	cause
奖赏	reward
烟	mist
幼崽	young
金	gold
经费	expenditure
泰	safe
分钟	minute
情	emotion
性质	nature
狂放	unrestrained
帕	pascal
给力	impressive
严格	tight
正字法	orthography
整	orderly
神经痛	neuralgia
玺印	seal
症候	illness
花活	deception
谱系	pedigree
无瑕	faultless
孤单	lonely
桌	table
打磨	polish
小贩	peddler
残留物	remnant
针线活	sewing
控制	control
炮舰	gunship
重建	reconstruction
过境	transit
数码	digital
袖管	sleeve
痦子	mole
孙	descendant
把握	sure
交互	mutual
心事	worry
绕脖子	involved
大教堂	cathedral
望而生畏	overwhelming
骑兵	cavalry
引擎盖	bonnet
太	highest
姿态	attitude
早前	previously
原因	reason
只顾	engrossed
乡村	rustic
星座	constellation
节约	economy
无可匹敌	unparalleled
安舒	serene
妩媚	charming
忧伤	distressed
酒厂	distillery
黎	many
无所不在	omnipresent
联盟	alliance
温驯	harmless
淤泥	silt
自得	contented
标志	sign
再三再四	repeatedly
寻常	usual
臻	utmost
咋呼	ruckus
悠长	drawn-out
绦	braid
合作社	cooperative
了得	dreadful
不可救药	incorrigible
代码	code
有人情	humane
花边	lace
增兵	reinforcements
部位	place
本质上	inherent
创见性	original
忠心	devotion
大错	blunder
口	mouth
胺	amine
虚无缥缈	unreal
肾脏	kidney
出丑	scandalous
实	true
癔病	hysteria
暴怒	fury
行当	role
全球性	worldwide
暗	stupid
职级	grade
弊病	evil
不羁	unruly
探子	detective
裁判官	judge
该死	wretched
民	citizen
旱灾	drought
高声	loudly
万万	absolutely
鬃毛	mane
邪	iniquitous
黄色	pornographic
沉陷	lost
替身	stand-in
字体	font
外壳	hull
津贴	allowance
节	festival
职权	authority
长靴	boot
言	speech
磷灰石	apatite
未命名	unnamed
孤僻	antisocial
蛱蝶	butterfly
爽	pleasurable
密密匝匝	thick
水陆	amphibian
资格	seniority
火爆	flourishing
莳萝	dill
辙	way
丰沛	plentiful
时兴	fashionable
枪术	qiang
有价值	valuable
公正	equitable
架构	framework
镂空	openwork
章程	statute
夯	hot
袋子	bag
至高无上	unsurpassed
馨香	fragrant
调查	survey
印刷	printing
水花	splash
队部	office
队部	headquarters
指示	instructions
机翼	wing
松鸡	grouse
礼制	etiquette
创作者	creator
丘	mound
谱	spectrum
板	plank
粉	powder
狼人	werewolf
出息	profit
公投	referendum
情趣	interest
忡	sad
伤寒症	typhoid
向	always
本人	oneself
陈列台	stall
无义	immoral
黑貂	sable
派别	denomination
纤微	slight
娱乐	entertainment
否有效	inefficient
壮观	spectacular
冗	superfluous
步兵	infantry
频率	frequency
不是	no
茸毛	fuzz
公认	accepted
怒	flourishing
必	certainly
浮夸	pompous
宽带	broadband
申诉	appeal
工程	undertaking
高处	elevation
宽恕	forgiveness
掌故	tales
死命	death
羽毛	plume
对	opposite
袭击	attack
便签	memo
厕	lavatory
精神	essence
地基	base
套间	vestibule
吊诡	bizarre
老资格	veteran
嫌	enmity
春季	springtime
基脚	footing
浏览器	browser
漫山遍野	omnipresent
量子	quantum
智慧	intelligent
结实	buff
受刑	tortured
长矛	lance
矮树	bush
气门	accelerator
国际性	internationalism
不客气	blunt
简要	brief
工具栏	toolbar
睦	amicable
无状	ill-mannered
鱼龙	ichthyosaur
鱼缸	aquarium
军舰	warship
类	category
运移	migration
背景	backdrop
寓意	moral
丧气	unlucky
俸给	salary
戚戚	sorrowful
不安	restless
袅	delicate
蓝色	blue
搏击	wrestling
西服	suit
电气	electricity
烊	molten
异国	foreign
乌木	ebony
凭照	certificate
尖头	tip
原核	prokaryotic
贝克	becquerel
倾向	trend
以往	formerly
辽阔	extensive
奠基者	pioneer
座右铭	motto
静	quiet
铺	store
眼罩	blindfold
没劲	boring
怀念	reminisce
负气	sulky
敌害	enemy
婴	baby
副标题	subtitle
白色	white
光合	photosynthesis
贝齿	cowry
桎梏	yoke
攻势	offensive
唛头	trademark
胶合板	plywood
迷人	fascinating
森严	strict
摹写	facsimile
持平	unbiased
玄秘	mystery
酒保	bartender
属	dependents
探险家	explorer
异特龙	allosaurus
证据	testimony
羁绊	yoke
魔咒	spell
茫茫	boundless
垠	limit
撕裂	rent
限制	limit
轰隆	rolling
一切	all
狗腿子	henchman
堇	clay
婪	avaricious
圆环	ring
检控官	procurator
背板	panel
幻境	fairyland
蓝本	blueprint
谌	sincere
獭	otter
繁重	burdensome
居室	room
根	root
钓客	angler
边缘	fringe
绕组	coil
罄	empty
发件人	sender
谦卑	humble
山峰	peak
服帖	fitting
凹	female
位	location
呈	petition
叶	period
畸胎	mutant
岩穴	cave
那个	sex
草稿	sketch
中间人	mediator
胡扯	nonsense
怨恨	resentment
崎岖	craggy
短	fault
畏忌	restraint
不对	abnormal
物	object
截夺	intercept
舱房	cabin
孤陋	ignorant
横加	violently
譬喻	metaphor
各别	characteristic
拿铁咖啡	latte
黄喉	aorta
乡长	mayor
耐心	patience
肇	originate
小儿科	stingy
常	frequently
推测	speculation
下身	trousers
兢	apprehensive
膀大腰圆	beefy
市尺	chi
试镜	tryout
邻域	neighborhood
脱肠	hernia
智障	retarded
特有	distinctive
室外	outdoor
在线	online
板板	solemn
威重	august
地势	terrain
虚空	hollow
霭霭	numerous
委托书	warrant
甘于	accepting
垒球	softball
汇金	finance
衬衣	shirt
篮板	backboard
孤绝	isolated
胆小	cowardice
好奇	curiosity
空话	bunk
心灵手巧	dexterous
漫不经心	indifferent
其先	previously
人马	centaur
讧	disorder
偏颇	partial
疲累	exhausted
轮胎	tire
曲	yeast
需	need
倭瓜	pumpkin
深蹲	squat
兔热病	tularemia
厂址	location
一匙	spoonful
死硬	rigid
凹痕	pitting
荣	thriving
事先	beforehand
山	hill
情境	situation
荒诞无稽	absurd
氘核	deuteron
诸如此类	etc
圆光	halo
住处	dwelling
高架	overhead
不结果	fruitless
斜线	slash
睡乡	sleep
愚蠢	stupid
剪刀	scissors
钳	pliers
自私	selfishness
雅皮士	yuppie
身分	dignity
崇高	sublime
瘀	contusion
可爱	cute
缓慢	slow-moving
联谊会	party
骚动	uproar
确实	really
丰盛	sumptuous
鼠目寸光	short-sighted
你们	you
颂词	eulogy
纷披	scattered
鲽	flounder
方	side
特征值	eigenvalue
虽是	although
波谷	trough
腐朽	rotten
鸟类	birds
多项式	polynomial
拐弯处	corner
索道	ropeway
锯齿形	zigzag
谢意	thanks
千万	many
坡度	gradient
耿	honest
馆	schoolroom
高速路	expressway
餐饮店	restaurant
籽实	bean
上好	top-notch
真正	genuine
累赘	superfluous
虚构	fictional
每个人	everybody
孵化场	hatchery
现在	now
约数	divisor
无法	incapable
蝶类	butterfly
干	dry
困惑	perplexity
破晓	dawn
聚脂	polyester
中转	correspondence
宅第	residence
动机	motor
人种	race
批量	batch
嘎嘎	honk
福林	forint
零号	bottom
剧透	spoiler
提法	wording
国有	state-owned
情况	situation
应接不暇	overwhelmed
组织者	organizer
领悟力	feeling
风车	pinwheel
秋	fall
绝伦	outstanding
仇隙	feud
转门	turnstile
厦	lean-to
雅司	yaws
崇拜	adoration
林木	forest
镬	wok
混种	hybrid
次序	order
酸辛	misery
爰	thus
晶圆	wafer
带原者	carrier
公证	notarized
举手投足	gestures
瓤	pulp
引导员	usher
峭壁	steep
比基尼	bikini
计谋	stratagem
火灾	fire
贞操	loyalty
水蛭	leech
气孔	pore
绞架	gibbet
雄鸡	rooster
鸡眼	corn
大	big
异龙	allosaurus
幅	roll
抄件	duplicate
垂垂	gradually
辅导人	tutor
吉鲁巴	jitterbug
客观	impartial
主张	view
铰	scissors
书店	bookstore
超人	exceptional
墨渍	spot
导语	lede
磈	stony
议题	topic
主动	drive
小茴香	fennel
字首	prefix
明显	distinct
格子	check
帖	appropriate
奇谲	treacherous
马占	merchant
包裹	bundle
巴达木	almond
所有权	ownership
到	to
精辟	insightful
检点	restrained
纹	pattern
契约	contract
无记名	bearer
练习	practice
遥遥	remote
病者	patient
楼梯间	staircase
荤	obscene
奇诡	intriguing
妈	mother
指定	designated
挖土机	backhoe
黎	dark
堪忧	bleak
结节	tubercle
发神经	demented
觉	awake
受害	killed
咬牙	gnaw
一定	surely
编辑	editor
忏悔	penitent
颇为	rather
疴	disease
咕咚	splash
安全	secure
舆地	land
暗淡	dark
解痛	analgesic
摆龙门阵	gossip
士多	store
略作	slightly
方向性	directionality
走向	inclination
杆菌	bacillus
清玩	curio
龌龊	petty
放射线	radiation
器	tool
微博客	microblog
手绢	handkerchief
黏糊	sticky
劲	energy
孱	feeble
妖怪	devil
拉制	manufacture
官员	administrator
背部	back
隐隐约约	faint
爆震	knocking
锇	osmium
疗伤	healing
所在	domicile
枯萎	wilted
不倒翁	tumbler
炼焦	coking
给	for
宿命	karma
队	team
开支	expenditures
硝	saltpeter
出厂价	invoice
矢	arrow
日间	daytime
大胜	triumph
坑坑洼洼	bumpy
框框	pattern
吉祥	propitious
姨父	uncle
工	worker
传染病学	epidemiology
切实	earnestly
课	course
从中	therefrom
讯号	signal
反	instead
毒品	narcotics
协约	entente
公司	company
圆柱	cylinder
逆时针	anticlockwise
血癌	leukemia
线索	thread
愤然	angry
高音	treble
襟度	broad-minded
勇	brave
靡烂	decaying
敦	kindhearted
咽喉	throat
亚文化	subculture
著作	book
姚	good-looking
铧	spade
更新版	update
拼贴	pastiche
不随意	involuntary
租金	rent
不变	unvarying
君	lord
永无止境	never-ending
衙门	yamen
松散	loose
洗洁剂	detergent
芬尼	pfennig
勇武	brave
风帆	sail
雅趣	refined
沉重	hard
设计者	designer
逐次	gradually
局限性	localized
风度	grace
脾气	temperament
神学	theology
粉色	powdered
讶	astounded
荒谬	ridiculous
器物	object
健忘症	amnesia
丛	cluster
概	approximate
兽	beastly
造型	style
轻量级	lightweight
电讯	telecom
交响曲	symphony
车流	traffic
礵	arsenic
隐私	privacy
于是	consequently
失道	unjust
周围	surroundings
伶人	actor
絮叨	long-winded
复活	resurrection
蛋酒	eggnog
慎重	cautious
长度	length
证明书	certificate
丰盛	rich
编舞	choreography
有德行	virtuous
物品	goods
兆字节	megabyte
同性爱	homosexual
公而忘私	selfless
十字架	crucifix
焦黄	sallow
滔滔	torrential
钱包	wallet
谦虚	self-effacing
劳累	tired
冰释	thaw
唯有	only
大便	excrement
美人鱼	mermaid
怀恨	spiteful
棕褐色	sepia
倾向性	tendency
通通	complete
膊	shoulder
怀	heart
保长	isometric
专科	branch
地步	situation
端的	particulars
血洗	massacre
万用表	multimeter
怕事	timid
腭	palate
打兰	dram
人事	personnel
轻视	contempt
目	item
严重	serious
闪石	amphibole
乳腺炎	mastitis
甚浓	thick
勤勉	diligence
遮阳板	sunshade
行星际	interplanetary
利益	benefit
恶鬼	devil
嗵	thump
有希望	promising
长	long
石匠	stonemason
序列	sequence
女眷	womenfolk
僻静	lonely
联合	unite
申诉	complaint
奎	crotch
发泡	fizzy
秘书	secretary
打火石	flint
点	drop
谈话	conversation
继亲	stepfamily
娘娘	aunt
演示	presentation
译名	transliteration
鲜亮	bright
谯	ridicule
名次	place
墓葬	grave
汇编	compilation
非必要	unnecessary
小马	pony
电工	electrician
严竣	strict
摩登	fashionable
卧具	bedding
实惠	advantageous
面点	pastry
桡骨	radius
瑰宝	gem
苦处	distress
黑曜石	obsidian
橱	cabinet
产量多	fruitful
痴呆	dementia
灯罩	lampshade
花团锦簇	splendid
疏疏	blurred
别庄	villa
稠	dense
条贯	system
花呢	tweed
理智	rational
几乎	nearly
正	main
侨	emigrant
足足	fully
讨人嫌	unpleasant
坝	dam
远足	march
被单	sheet
传真	facsimile
耕作	farming
稻草人	scarecrow
出纳员	cashier
容	look
推荐	recommendation
调	view
石	rock
典型	representative
灰领	specialist
帅呆了	awesome
瑰奇	precious
同音	homophone
犯	criminal
呆	foolish
大拿	authority
必要	necessary
笔头	written
面儿	outside
航班	plane
筹	chip
保留区	reservation
